|         line         | RAM[0] | RAM[1] | RAM[2] | RAM[3] | RAM[4] |argument|argument|local[0]|local[1]|local[2]|local[3]|local[4]|
| ONG.Math_multiply.35 |    285 |    278 |    271 |      0 |   2250 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.36 |    284 |    278 |    271 |      0 |   2250 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.37 |    285 |    278 |    271 |      0 |   2250 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.38 |    286 |    278 |    271 |      0 |   2250 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.39 |    285 |    278 |    271 |      0 |   2250 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.40 |    284 |    278 |    271 |      0 |   2250 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.41 |    284 |    278 |    271 |      0 |   2250 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.42 |    283 |    278 |    271 |      0 |   2250 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.43 |    284 |    278 |    271 |      0 |   2250 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.44 |    285 |    278 |    271 |      0 |   2250 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.45 |    284 |    278 |    271 |      0 |   2250 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.46 |    283 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.47 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.48 |    285 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.49 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.50 |    285 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.51 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.52 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.53 |    283 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.55 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.56 |    285 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.57 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.58 |    283 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.59 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.60 |    285 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.61 |    286 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.62 |    285 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.63 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.64 |    285 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.65 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.66 |    283 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |    284 |      0 |      0 |
| ONG.Math_multiply.67 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |    284 |      0 |      0 |
| ONG.Math_multiply.68 |    285 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |    284 |      0 |      0 |
| ONG.Math_multiply.69 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |    284 |      0 |      0 |
| ONG.Math_multiply.70 |    283 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      0 |      0 |
| ONG.Math_multiply.71 |    284 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      0 |      0 |
| ONG.Math_multiply.72 |    285 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      0 |      0 |
| ONG.Math_multiply.73 |    284 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      0 |      0 |
| ONG.Math_multiply.74 |    283 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.75 |    283 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.34 |    284 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.35 |    285 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.36 |    284 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.37 |    285 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
